n,an,bn,Pn,fPn
1,1.0,2.0,1.5,2.375
2,1.0,1.5,1.25,-1.796875
3,1.25,1.5,1.375,0.162109375
4,1.25,1.375,1.3125,-0.848388671875
5,1.3125,1.375,1.34375,-0.350982666015625
6,1.34375,1.375,1.359375,-0.09640884399414062
7,1.359375,1.375,1.3671875,0.03235578536987305
8,1.359375,1.3671875,1.36328125,-0.03214997053146362
9,1.36328125,1.3671875,1.365234375,7.202476263046265e-05
10,1.36328125,1.365234375,1.3642578125,-0.01604669075459242
11,1.3642578125,1.365234375,1.36474609375,-0.007989262812770903
12,1.36474609375,1.365234375,1.364990234375,-0.003959101522923447
13,1.364990234375,1.365234375,1.3651123046875,-0.0019436590100667672
14,1.3651123046875,1.365234375,1.36517333984375,-0.000935847281880342
15,1.36517333984375,1.365234375,1.365203857421875,-0.00043191879925075227
16,1.365203857421875,1.365234375,1.3652191162109375,-0.0001799489032272561
17,1.3652191162109375,1.365234375,1.3652267456054688,-5.3962541528562724e-05
18,1.3652267456054688,1.365234375,1.3652305603027344,9.030992742964372e-06
19,1.3652267456054688,1.3652305603027344,1.3652286529541016,-2.2465803844795573e-05
20,1.3652286529541016,1.3652305603027344,1.365229606628418,-6.7174129139147e-06
