n,Pn,fPn,L
0,25.0,72004899333.3683,0.0412954870967117
1,24.0000000000595,26489122126.2672,0.0430703070147097
2,23.0000000003223,9744803442.32425,0.0450041086097467
3,22.0000000012211,3584912842.50912,0.0471191814037534
4,21.0000000034576,1318815731.94765,0.0494421679900537
5,20.0000000075689,485165193.898141,0.0520051754449742
6,19.0000000144902,178482299.526838,0.0548472431723601
7,18.0000000353485,65659966.7789462,0.0580163068110296
8,17.0000001294900,24154949.3310827,0.0615718630983332
9,16.0000004802714,8886106.87295015,0.0655886414364280
10,15.0000014358183,3269014.54684340,0.0701617474373063
11,14.0000033381472,1202602.57217045,0.0754140044793920
12,13.0000064523943,442412.061653976,0.0815066595592808
13,12.0000140121658,162752.759949197,0.0886553629934236
14,11.0000470979808,59870.9711666385,0.0971544956161103
15,10.0001805372976,22022.7657822428,0.107414443488079
16,9.00057835979771,8099.95099647657,0.120018155034637
17,8.00144135399270,2978.96775125280,0.135807785989563
18,7.00288572203890,1095.31411070785,0.156038241011178
19,6.00576650047717,401.700980045708,0.182758143767695
20,5.01708296650899,145.601160201923,0.219965748129452
21,4.06454954660428,51.0915040413673,0.276358714857805
22,3.21006256631338,16.8933853742457,0.367555289657246
23,2.53004484217714,5.08968168673029,0.508589437383978
24,2.07906346835160,1.26031563692210,0.683140922145965
25,1.87197063140472,0.181011325312156,0.807454584314590
26,1.83084804604188,0.00601379527695516,0.837214768067407
27,1.82938539742175,7.36420434081179e-6,0.838303969722195
28,1.82938360193655,1.10840331726574e-11,0
29,1.82938360193385,-2.90073144825388e-16,0
30,1.82938360193385,-2.90073144825388e-16,0
